STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/27/2006,0.34,,51,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/28/2006,1.07,,65,46
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/29/2006,0,,55,45
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/30/2006,0,,61,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/31/2006,0,,63,46
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11/1/2006,0,,69,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11/2/2006,0.18,,57,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11/3/2006,0,,49,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11/4/2006,0,,48,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11/5/2006,0,,49,33
